iter	Passed	Remaining
580	804	580
581	806	578
582	806	577
583	807	575
584	808	573
585	809	571
586	810	570
587	811	568
588	812	566
589	812	564
590	813	563
591	814	561
592	815	559
593	816	558
594	817	556
595	819	555
596	820	553
597	821	552
598	822	550
599	823	549
600	824	547
601	825	545
602	826	543
603	827	542
604	828	540
605	829	539
606	830	537
607	832	536
608	833	534
609	835	534
610	837	533
611	838	531
612	839	529
613	839	528
614	840	526
615	841	524
616	842	523
617	843	521
618	844	519
619	845	518
620	846	516
621	847	515
622	849	513
623	850	512
624	851	511
625	852	509
626	853	507
627	854	506
628	855	504
629	855	502
630	856	500
631	857	499
632	858	497
633	859	495
634	860	494
635	861	493
636	863	491
637	864	490
638	865	489
639	866	487
640	867	486
641	868	484
642	869	482
643	870	481
644	871	479
645	872	478
646	873	476
647	875	475
648	876	473
649	877	472
650	879	471
651	880	469
652	881	468
653	882	466
654	883	465
655	884	463
656	885	462
657	885	460
658	886	458
659	887	457
660	888	455
661	889	454
662	890	452
663	891	451
664	892	449
665	892	447
666	893	446
667	894	444
668	895	443
669	896	441
670	897	439
671	898	438
672	898	436
673	899	435
674	900	433
675	901	431
676	902	430
677	902	428
678	903	427
679	904	425
680	905	424
681	906	422
682	907	421
683	908	419
684	909	418
685	909	416
686	910	414
687	911	413
688	912	411
689	913	410
690	914	408
691	914	407
692	915	405
693	916	404
694	917	402
695	918	401
696	919	399
697	920	398
698	921	396
699	922	395
700	923	393
701	924	392
702	925	390
703	925	389
704	926	387
705	927	386
706	928	384
707	928	383
708	929	381
709	930	380
710	931	378
711	931	376
712	932	375
713	933	373
714	934	372
715	935	371
716	936	369
717	937	368
718	937	366
719	938	365
720	939	363
721	940	361
722	940	360
723	941	358
724	942	357
725	943	355
726	943	354
727	944	352
728	945	351
729	946	349
730	946	348
731	947	346
732	948	345
733	949	344
734	950	342
735	950	341
736	951	339
737	952	338
738	953	336
739	954	335
740	955	333
741	955	332
742	956	330
743	957	329
744	958	327
745	958	326
746	959	325
747	960	323
748	961	322
749	962	320
750	962	319
751	963	317
752	964	316
753	965	314
754	966	313
755	967	312
756	968	310
757	968	309
758	969	307
759	970	306
760	971	305
761	972	303
762	973	302
763	973	300
764	974	299
765	975	297
766	976	296
767	976	295
768	977	293
769	978	292
770	979	290
771	980	289
772	981	288
773	982	286
774	983	285
775	985	284
776	986	283
777	987	281
778	988	280
779	988	278
780	989	277
781	990	276
782	991	274
783	992	273
784	992	271
785	993	270
786	994	269
787	995	267
788	996	266
789	997	265
790	998	263
791	999	262
792	1000	261
793	1001	259
794	1001	258
795	1002	256
796	1003	255
797	1004	254
798	1005	252
799	1005	251
800	1006	250
801	1007	248
802	1008	247
803	1009	245
804	1009	244
805	1011	243
806	1012	242
807	1013	240
808	1014	239
809	1015	238
810	1015	236
811	1016	235
812	1017	234
813	1018	232
814	1019	231
815	1020	230
816	1020	228
817	1021	227
818	1022	225
819	1023	224
820	1024	223
821	1025	221
822	1026	220
823	1027	219
824	1028	218
825	1029	216
826	1030	215
827	1031	214
828	1032	212
829	1033	211
830	1034	210
831	1035	209
832	1036	207
833	1037	206
834	1038	205
835	1039	203
836	1040	202
837	1041	201
838	1043	200
839	1044	198
840	1045	197
841	1045	196
842	1046	194
843	1047	193
844	1048	192
845	1049	190
846	1050	189
847	1050	188
848	1051	187
849	1052	185
850	1053	184
851	1055	183
852	1057	182
853	1058	180
854	1059	179
855	1060	178
856	1061	177
857	1063	175
858	1064	174
859	1065	173
860	1066	172
861	1067	170
862	1068	169
863	1069	168
864	1070	167
865	1071	165
866	1072	164
867	1073	163
868	1074	161
869	1075	160
870	1076	159
871	1077	158
872	1077	156
873	1078	155
874	1079	154
875	1080	152
876	1082	151
877	1083	150
878	1085	149
879	1086	148
880	1087	146
881	1088	145
882	1089	144
883	1090	143
884	1091	141
885	1092	140
886	1092	139
887	1093	137
888	1094	136
889	1095	135
890	1095	134
891	1096	132
892	1097	131
893	1098	130
894	1099	128
895	1099	127
896	1100	126
897	1101	125
898	1102	123
899	1103	122
900	1104	121
901	1105	120
902	1106	118
903	1107	117
904	1107	116
905	1108	115
906	1109	113
907	1110	112
908	1111	111
909	1111	109
910	1112	108
911	1113	107
912	1114	106
913	1115	104
914	1116	103
915	1117	102
916	1118	101
917	1118	99
918	1119	98
919	1120	97
920	1121	96
921	1121	94
922	1122	93
923	1123	92
924	1124	91
925	1124	89
926	1125	88
927	1126	87
928	1127	86
929	1128	84
930	1128	83
931	1129	82
932	1130	81
933	1131	79
934	1132	78
935	1133	77
936	1134	76
937	1135	75
938	1135	73
939	1136	72
940	1137	71
941	1138	70
942	1139	68
943	1139	67
944	1140	66
945	1141	65
946	1142	63
947	1143	62
948	1143	61
949	1144	60
950	1146	59
951	1147	57
952	1148	56
953	1150	55
954	1151	54
955	1152	53
956	1153	51
957	1153	50
958	1154	49
959	1155	48
960	1156	46
961	1157	45
962	1157	44
963	1158	43
964	1159	42
965	1160	40
966	1162	39
967	1163	38
968	1164	37
969	1165	36
970	1166	34
971	1167	33
972	1168	32
973	1169	31
974	1170	30
975	1171	28
976	1171	27
977	1172	26
978	1173	25
979	1174	23
980	1175	22
981	1175	21
982	1176	20
983	1177	19
984	1178	17
985	1179	16
986	1180	15
987	1181	14
988	1181	13
989	1182	11
990	1183	10
991	1183	9
992	1184	8
993	1185	7
994	1186	5
995	1186	4
996	1187	3
997	1188	2
998	1189	1
999	1190	0
